cidr,sblid,rir,type,timestamp,size,records,copyright,terms
1.10.16.0/20,SBL256894,apnic,,,,,,
1.19.0.0/16,SBL434604,apnic,,,,,,
1.32.128.0/18,SBL286275,apnic,,,,,,
2.56.192.0/22,SBL459831,ripencc,,,,,,
2.57.122.0/24,SBL636050,ripencc,,,,,,
2.57.232.0/23,SBL538946,ripencc,,,,,,
2.57.234.0/23,SBL538947,ripencc,,,,,,
2.58.56.0/24,SBL687502,ripencc,,,,,,
2.59.152.0/24,SBL688496,ripencc,,,,,,
5.42.92.0/24,SBL625300,ripencc,,,,,,
5.101.82.0/24,SBL689964,ripencc,,,,,,
5.105.220.0/24,SBL627956,ripencc,,,,,,
5.133.101.0/24,SBL681548,ripencc,,,,,,
5.183.60.0/22,SBL463004,ripencc,,,,,,
5.188.236.0/23,SBL544034,ripencc,,,,,,
14.128.32.0/20,SBL657011,apnic,,,,,,
14.128.48.0/21,SBL656501,apnic,,,,,,
14.152.94.0/24,SBL656012,apnic,,,,,,
23.129.252.0/23,SBL630797,arin,,,,,,
23.132.164.0/24,SBL688228,arin,,,,,,
23.137.100.0/24,SBL678470,arin,,,,,,
23.146.240.0/24,SBL680468,arin,,,,,,
23.146.241.0/24,SBL681852,arin,,,,,,
23.146.242.0/24,SBL679712,arin,,,,,,
23.147.52.0/24,SBL689777,arin,,,,,,
23.147.148.0/24,SBL689966,arin,,,,,,
23.147.156.0/24,SBL689967,arin,,,,,,
23.147.164.0/24,SBL689968,arin,,,,,,
23.148.144.0/24,SBL680469,arin,,,,,,
23.164.152.0/24,SBL680302,arin,,,,,,
23.164.153.0/24,SBL680303,arin,,,,,,
23.172.112.0/24,SBL655002,arin,,,,,,
23.172.216.0/24,SBL678365,arin,,,,,,
23.176.184.0/24,SBL688276,arin,,,,,,
23.235.128.0/19,SBL226494,arin,,,,,,
24.137.16.0/20,SBL502541,arin,,,,,,
24.170.208.0/20,SBL502917,arin,,,,,,
24.233.0.0/19,SBL210084,arin,,,,,,
24.236.0.0/19,SBL502928,arin,,,,,,
27.50.63.0/24,SBL613485,apnic,,,,,,
27.99.128.0/17,SBL677409,apnic,,,,,,
27.112.32.0/19,SBL237955,apnic,,,,,,
27.123.208.0/22,SBL137265,apnic,,,,,,
27.124.0.0/18,SBL668364,apnic,,,,,,
27.124.17.0/24,SBL613430,apnic,,,,,,
27.124.41.0/24,SBL613196,apnic,,,,,,
27.126.160.0/20,SBL257064,apnic,,,,,,
27.146.0.0/16,SBL326434,apnic,,,,,,
31.40.202.0/24,SBL692153,ripencc,,,,,,
31.40.204.0/24,SBL688215,ripencc,,,,,,
31.129.48.0/24,SBL687165,ripencc,,,,,,
31.129.49.0/24,SBL680605,ripencc,,,,,,
31.217.252.0/24,SBL618813,ripencc,,,,,,
31.222.236.0/24,SBL618814,ripencc,,,,,,
36.0.8.0/21,SBL225949,apnic,,,,,,
36.0.128.0/17,SBL677404,apnic,,,,,,
36.37.48.0/20,SBL258006,apnic,,,,,,
36.116.0.0/16,SBL303895,apnic,,,,,,
36.119.0.0/16,SBL303894,apnic,,,,,,
36.255.97.0/24,SBL693107,apnic,,,,,,
36.255.98.0/24,SBL688268,apnic,,,,,,
36.255.216.0/22,SBL395331,apnic,,,,,,
36.255.236.0/22,SBL395332,apnic,,,,,,
37.49.148.0/24,SBL675012,ripencc,,,,,,
37.72.140.0/24,SBL693418,ripencc,,,,,,
37.77.150.0/24,SBL692136,ripencc,,,,,,
37.140.251.0/24,SBL618815,ripencc,,,,,,
37.156.64.0/23,SBL493556,ripencc,,,,,,
38.92.176.0/21,SBL688400,arin,,,,,,
38.92.184.0/21,SBL683356,arin,,,,,,
38.107.120.0/21,SBL693166,arin,,,,,,
38.182.0.0/19,SBL689983,arin,,,,,,
41.71.128.0/17,SBL647149,afrinic,,,,,,
41.71.150.0/24,SBL647138,afrinic,,,,,,
41.71.222.0/24,SBL647139,afrinic,,,,,,
41.71.223.0/24,SBL647140,afrinic,,,,,,
41.71.224.0/24,SBL647141,afrinic,,,,,,
41.71.225.0/24,SBL647142,afrinic,,,,,,
41.71.226.0/24,SBL647143,afrinic,,,,,,
41.71.229.0/24,SBL647144,afrinic,,,,,,
41.71.230.0/24,SBL647145,afrinic,,,,,,
41.71.240.0/24,SBL647146,afrinic,,,,,,
42.0.32.0/19,SBL265729,apnic,,,,,,
42.0.128.0/17,SBL677405,apnic,,,,,,
42.128.0.0/12,SBL262062,apnic,,,,,,
42.160.0.0/12,SBL262364,apnic,,,,,,
42.208.0.0/12,SBL283229,apnic,,,,,,
43.228.157.0/24,SBL692930,apnic,,,,,,
43.229.52.0/22,SBL256092,apnic,,,,,,
43.229.240.0/22,SBL287973,apnic,,,,,,
43.231.220.0/22,SBL501564,apnic,,,,,,
43.236.0.0/16,SBL240624,apnic,,,,,,
43.239.104.0/22,SBL480922,apnic,,,,,,
43.248.40.0/22,SBL287975,apnic,,,,,,
43.249.92.0/22,SBL655250,apnic,,,,,,
45.3.62.0/24,SBL692224,ripencc,,,,,,
45.9.168.0/24,SBL655464,ripencc,,,,,,
45.13.37.0/24,SBL682859,ripencc,,,,,,
45.13.213.0/24,SBL682860,ripencc,,,,,,
45.15.21.0/24,SBL689965,ripencc,,,,,,
